type	key	nevents	nfiles	size_TB	dataset
MC	TTTWminus	9690184	187	0.056	/TTTWminus-DR1_TuneCP5_13p6TeV_amcatnlo-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	TTTWplus	9580240	173	0.055	/TTTWplus-DR1_TuneCP5_13p6TeV_amcatnlo-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	TTTT	9776800	101	0.061	/TTTT_TuneCP5_13p6TeV_amcatnlo-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	TT4b	9898300	34	0.043	/TT4B_TuneCP5_13p6TeV_madgraph-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v3/NANOAODSIM
MC	ST_t_top_had	87576444	778	0.205	/TBbarQto2Q-t-channel-4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_t_top_lep	44258039	391	0.106	/TBbarQtoLNu-t-channel-4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_t_antitop_had	43273264	825	0.103	/TbarBQto2Q-t-channel-4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_t_antitop_lep	22102160	249	0.053	/TbarBQtoLNu-t-channel-4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_tW_top_had	23999000	154	0.067	/TWminusto4Q_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_tW_top_semilep	28763293	252	0.083	/TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_tW_top_dilep	14998000	176	0.043	/TWminusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_tW_antitop_had	24000000	195	0.067	/TbarWplusto4Q_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_tW_antitop_semilep	29395659	252	0.084	/TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_tW_antitop_dilep	15000000	90	0.043	/TbarWplusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_s_top_had	9210000	96	0.022	/TBbarto2Q-s-channel_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_s_top_lep	46140000	273	0.110	/TBbartoLNu-s-channel_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_s_antitop_had	5924000	94	0.014	/TbarBto2Q-s-channel_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ST_s_antitop_lep	29566000	224	0.070	/TbarBtoLNu-s-channel_TuneCP5_13p6TeV_powheg-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	WW	63986968	518	0.115	/WW_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	WZ	30547825	307	0.055	/WZ_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ZZ	4800000	76	0.009	/ZZ_TuneCP5_13p6TeV_pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	WJetsToQQ_HT400to800	401294004	2532	1.263	/Wto2Q-3Jets_Bin-HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	WJetsToQQ_HT800to1500	53389988	414	0.217	/Wto2Q-3Jets_Bin-HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	WJetsToQQ_HT1500to2500	48297099	372	0.222	/Wto2Q-3Jets_Bin-HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v3/NANOAODSIM
MC	WJetsToQQ_HT2500toInf	52106542	442	0.260	/Wto2Q-3Jets_Bin-HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ZJetsToQQ_HT400to800	181710909	961	0.574	/Zto2Q-4Jets_Bin-HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ZJetsToQQ_HT800to1500	51509657	456	0.216	/Zto2Q-4Jets_Bin-HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ZJetsToQQ_HT1500to2500	67205770	557	0.322	/Zto2Q-4Jets_Bin-HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ZJetsToQQ_HT2500toInf	41893516	495	0.220	/Zto2Q-4Jets_Bin-HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v3/NANOAODSIM
DATA	JetMET0_Run2024C-MINIv6NANOv15-v1	69348871	161	0.151	/JetMET0/Run2024C-MINIv6NANOv15-v1/NANOAOD
DATA	JetMET0_Run2024D-MINIv6NANOv15-v1	75958774	151	0.166	/JetMET0/Run2024D-MINIv6NANOv15-v1/NANOAOD
DATA	JetMET0_Run2024E-MINIv6NANOv15-v1	123673375	231	0.251	/JetMET0/Run2024E-MINIv6NANOv15-v1/NANOAOD
DATA	JetMET0_Run2024F-MINIv6NANOv15-v2	309079689	381	0.632	/JetMET0/Run2024F-MINIv6NANOv15-v2/NANOAOD
DATA	JetMET0_Run2024G-MINIv6NANOv15-v2	401015801	443	0.862	/JetMET0/Run2024G-MINIv6NANOv15-v2/NANOAOD
DATA	JetMET0_Run2024H-MINIv6NANOv15-v2	55794457	82	0.122	/JetMET0/Run2024H-MINIv6NANOv15-v2/NANOAOD
DATA	JetMET0_Run2024I-MINIv6NANOv15-v2	59259348	149	0.127	/JetMET0/Run2024I-MINIv6NANOv15-v2/NANOAOD
DATA	JetMET0_Run2024I-MINIv6NANOv15_v2-v1	116134795	179	0.197	/JetMET0/Run2024I-MINIv6NANOv15_v2-v1/NANOAOD
DATA	JetMET1_Run2024C-MINIv6NANOv15-v1	69648563	110	0.152	/JetMET1/Run2024C-MINIv6NANOv15-v1/NANOAOD
DATA	JetMET1_Run2024D-MINIv6NANOv15-v1	75810110	155	0.165	/JetMET1/Run2024D-MINIv6NANOv15-v1/NANOAOD
DATA	JetMET1_Run2024E-MINIv6NANOv15-v1	123602626	228	0.251	/JetMET1/Run2024E-MINIv6NANOv15-v1/NANOAOD
DATA	JetMET1_Run2024F-MINIv6NANOv15-v2	309604079	381	0.633	/JetMET1/Run2024F-MINIv6NANOv15-v2/NANOAOD
DATA	JetMET1_Run2024G-MINIv6NANOv15-v2	397200034	451	0.854	/JetMET1/Run2024G-MINIv6NANOv15-v2/NANOAOD
DATA	JetMET1_Run2024H-MINIv6NANOv15-v2	55790857	76	0.122	/JetMET1/Run2024H-MINIv6NANOv15-v2/NANOAOD
DATA	JetMET1_Run2024I-MINIv6NANOv15-v1	59255632	82	0.127	/JetMET1/Run2024I-MINIv6NANOv15-v1/NANOAOD
DATA	JetMET1_Run2024I-MINIv6NANOv15_v2-v2	116127561	116	0.196	/JetMET1/Run2024I-MINIv6NANOv15_v2-v2/NANOAOD
DATA	Muon0_Run2024C-MINIv6NANOv15-v1	97505587	103	0.135	/Muon0/Run2024C-MINIv6NANOv15-v1/NANOAOD
DATA	Muon0_Run2024D-MINIv6NANOv15-v1	120787065	180	0.164	/Muon0/Run2024D-MINIv6NANOv15-v1/NANOAOD
DATA	Muon0_Run2024E-MINIv6NANOv15-v1	169640946	255	0.235	/Muon0/Run2024E-MINIv6NANOv15-v1/NANOAOD
DATA	Muon0_Run2024F-MINIv6NANOv15-v1	442432787	594	0.615	/Muon0/Run2024F-MINIv6NANOv15-v1/NANOAOD
DATA	Muon0_Run2024G-MINIv6NANOv15-v1	642028803	948	0.888	/Muon0/Run2024G-MINIv6NANOv15-v1/NANOAOD
DATA	Muon0_Run2024H-MINIv6NANOv15-v1	93983627	152	0.130	/Muon0/Run2024H-MINIv6NANOv15-v1/NANOAOD
DATA	Muon0_Run2024I-MINIv6NANOv15-v1	97634104	173	0.132	/Muon0/Run2024I-MINIv6NANOv15-v1/NANOAOD
DATA	Muon0_Run2024I-MINIv6NANOv15_v2-v1	105194627	174	0.139	/Muon0/Run2024I-MINIv6NANOv15_v2-v1/NANOAOD
DATA	Muon1_Run2024C-MINIv6NANOv15-v1	97531998	94	0.135	/Muon1/Run2024C-MINIv6NANOv15-v1/NANOAOD
DATA	Muon1_Run2024D-MINIv6NANOv15-v1	120467371	168	0.164	/Muon1/Run2024D-MINIv6NANOv15-v1/NANOAOD
DATA	Muon1_Run2024E-MINIv6NANOv15-v1	172848674	171	0.239	/Muon1/Run2024E-MINIv6NANOv15-v1/NANOAOD
DATA	Muon1_Run2024F-MINIv6NANOv15-v1	442360423	538	0.615	/Muon1/Run2024F-MINIv6NANOv15-v1/NANOAOD
DATA	Muon1_Run2024G-MINIv6NANOv15-v2	641959643	565	0.886	/Muon1/Run2024G-MINIv6NANOv15-v2/NANOAOD
DATA	Muon1_Run2024H-MINIv6NANOv15-v2	93981102	93	0.129	/Muon1/Run2024H-MINIv6NANOv15-v2/NANOAOD
DATA	Muon1_Run2024I-MINIv6NANOv15-v1	97630010	94	0.132	/Muon1/Run2024I-MINIv6NANOv15-v1/NANOAOD
DATA	Muon1_Run2024I-MINIv6NANOv15_v2-v1	105189040	133	0.139	/Muon1/Run2024I-MINIv6NANOv15_v2-v1/NANOAOD
