# label=2017E_v9_Data
# source=root://cms-xrd-global.cern.ch//store/data/Run2017E/JetHT/NANOAOD/UL2017_MiniAODv2_NanoAODv9-v1/70000/C53BE643-D1A6-4D45-9BA0-4156436423DF.root
# columns: tree	branch	type	lenVar
Events	Flag_trkPOGFilters	Bool_t	
Events	Flag_trkPOGFilters_pRECO	Bool_t	
Events	Flag_trkPOG_logErrorTooManyClusters	Bool_t	
Events	Flag_trkPOG_logErrorTooManyClusters_pRECO	Bool_t	
Events	Flag_trkPOG_manystripclus53X	Bool_t	
Events	Flag_trkPOG_manystripclus53X_pRECO	Bool_t	
Events	Flag_trkPOG_toomanystripclus53X	Bool_t	
Events	Flag_trkPOG_toomanystripclus53X_pRECO	Bool_t	
Events	FsrPhoton_dROverEt2	Float_t	nFsrPhoton
Events	FsrPhoton_eta	Float_t	nFsrPhoton
Events	FsrPhoton_muonIdx	Int_t	nFsrPhoton
Events	FsrPhoton_phi	Float_t	nFsrPhoton
Events	FsrPhoton_pt	Float_t	nFsrPhoton
Events	FsrPhoton_relIso03	Float_t	nFsrPhoton
Events	HLT_AK4CaloJet100	Bool_t	
Events	HLT_AK4CaloJet120	Bool_t	
Events	HLT_AK4CaloJet30	Bool_t	
Events	HLT_AK4CaloJet40	Bool_t	
Events	HLT_AK4CaloJet50	Bool_t	
Events	HLT_AK4CaloJet80	Bool_t	
Events	HLT_AK4PFJet100	Bool_t	
Events	HLT_AK4PFJet120	Bool_t	
Events	HLT_AK4PFJet30	Bool_t	
Events	HLT_AK4PFJet50	Bool_t	
Events	HLT_AK4PFJet80	Bool_t	
Events	HLT_AK8PFHT750_TrimMass50	Bool_t	
Events	HLT_AK8PFHT800_TrimMass50	Bool_t	
Events	HLT_AK8PFHT850_TrimMass50	Bool_t	
Events	HLT_AK8PFHT900_TrimMass50	Bool_t	
Events	HLT_AK8PFJet140	Bool_t	
Events	HLT_AK8PFJet200	Bool_t	
Events	HLT_AK8PFJet260	Bool_t	
Events	HLT_AK8PFJet320	Bool_t	
Events	HLT_AK8PFJet360_TrimMass30	Bool_t	
Events	HLT_AK8PFJet380_TrimMass30	Bool_t	
Events	HLT_AK8PFJet40	Bool_t	
Events	HLT_AK8PFJet400	Bool_t	
Events	HLT_AK8PFJet400_TrimMass30	Bool_t	
Events	HLT_AK8PFJet420_TrimMass30	Bool_t	
Events	HLT_AK8PFJet450	Bool_t	
Events	HLT_AK8PFJet500	Bool_t	
Events	HLT_AK8PFJet550	Bool_t	
Events	HLT_AK8PFJet60	Bool_t	
Events	HLT_AK8PFJet80	Bool_t	
Events	HLT_AK8PFJetFwd140	Bool_t	
Events	HLT_AK8PFJetFwd200	Bool_t	
Events	HLT_AK8PFJetFwd260	Bool_t	
Events	HLT_AK8PFJetFwd320	Bool_t	
Events	HLT_AK8PFJetFwd40	Bool_t	
Events	HLT_AK8PFJetFwd400	Bool_t	
Events	HLT_AK8PFJetFwd450	Bool_t	
Events	HLT_AK8PFJetFwd500	Bool_t	
Events	HLT_AK8PFJetFwd60	Bool_t	
Events	HLT_AK8PFJetFwd80	Bool_t	
Events	HLT_BTagMu_AK4DiJet110_Mu5	Bool_t	
Events	HLT_BTagMu_AK4DiJet170_Mu5	Bool_t	
Events	HLT_BTagMu_AK4DiJet20_Mu5	Bool_t	
Events	HLT_BTagMu_AK4DiJet40_Mu5	Bool_t	
Events	HLT_BTagMu_AK4DiJet70_Mu5	Bool_t	
Events	HLT_BTagMu_AK4Jet300_Mu5	Bool_t	
Events	HLT_BTagMu_AK8DiJet170_Mu5	Bool_t	
Events	HLT_BTagMu_AK8Jet300_Mu5	Bool_t	
Events	HLT_CaloJet500_NoJetID	Bool_t	
Events	HLT_CaloJet550_NoJetID	Bool_t	
Events	HLT_CaloMET100_HBHECleaned	Bool_t	
Events	HLT_CaloMET100_NotCleaned	Bool_t	
Events	HLT_CaloMET110_NotCleaned	Bool_t	
Events	HLT_CaloMET250_HBHECleaned	Bool_t	
Events	HLT_CaloMET250_NotCleaned	Bool_t	
Events	HLT_CaloMET300_HBHECleaned	Bool_t	
Events	HLT_CaloMET350_HBHECleaned	Bool_t	
Events	HLT_CaloMET70_HBHECleaned	Bool_t	
Events	HLT_CaloMET80_HBHECleaned	Bool_t	
Events	HLT_CaloMET80_NotCleaned	Bool_t	
Events	HLT_CaloMET90_HBHECleaned	Bool_t	
Events	HLT_CaloMET90_NotCleaned	Bool_t	
Events	HLT_CaloMHT90	Bool_t	
Events	HLT_DiEle27_WPTightCaloOnly_L1DoubleEG	Bool_t	
Events	HLT_DiJet110_35_Mjj650_PFMET110	Bool_t	
Events	HLT_DiJet110_35_Mjj650_PFMET120	Bool_t	
Events	HLT_DiJet110_35_Mjj650_PFMET130	Bool_t	
Events	HLT_DiMu9_Ele9_CaloIdL_TrackIdL	Bool_t	
Events	HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ	Bool_t	
Events	HLT_DiPFJet15_FBEta3_NoCaloMatched	Bool_t	
Events	HLT_DiPFJet15_NoCaloMatched	Bool_t	
Events	HLT_DiPFJet25_FBEta3_NoCaloMatched	Bool_t	
Events	HLT_DiPFJet25_NoCaloMatched	Bool_t	
Events	HLT_DiPFJetAve100_HFJEC	Bool_t	
Events	HLT_DiPFJetAve140	Bool_t	
Events	HLT_DiPFJetAve15_HFJEC	Bool_t	
Events	HLT_DiPFJetAve160_HFJEC	Bool_t	
Events	HLT_DiPFJetAve200	Bool_t	
Events	HLT_DiPFJetAve220_HFJEC	Bool_t	
Events	HLT_DiPFJetAve25_HFJEC	Bool_t	
Events	HLT_DiPFJetAve260	Bool_t	
Events	HLT_DiPFJetAve300_HFJEC	Bool_t	
Events	HLT_DiPFJetAve320	Bool_t	
Events	HLT_DiPFJetAve35_HFJEC	Bool_t	
Events	HLT_DiPFJetAve40	Bool_t	
Events	HLT_DiPFJetAve400	Bool_t	
Events	HLT_DiPFJetAve500	Bool_t	
Events	HLT_DiPFJetAve60	Bool_t	
Events	HLT_DiPFJetAve60_HFJEC	Bool_t	
Events	HLT_DiPFJetAve80	Bool_t	
Events	HLT_DiPFJetAve80_HFJEC	Bool_t	
Events	HLT_DiSC30_18_EIso_AND_HE_Mass70	Bool_t	
Events	HLT_Dimuon0_Jpsi	Bool_t	
Events	HLT_Dimuon0_Jpsi3p5_Muon2	Bool_t	
Events	HLT_Dimuon0_Jpsi_L1_4R_0er1p5R	Bool_t	
Events	HLT_Dimuon0_Jpsi_L1_NoOS	Bool_t	
Events	HLT_Dimuon0_Jpsi_NoVertexing	Bool_t	
Events	HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R	Bool_t	
Events	HLT_Dimuon0_Jpsi_NoVertexing_NoOS	Bool_t	
Events	HLT_Dimuon0_LowMass	Bool_t	
Events	HLT_Dimuon0_LowMass_L1_0er1p5	Bool_t	
Events	HLT_Dimuon0_LowMass_L1_0er1p5R	Bool_t	
Events	HLT_Dimuon0_LowMass_L1_4	Bool_t	
Events	HLT_Dimuon0_LowMass_L1_4R	Bool_t	
Events	HLT_Dimuon0_LowMass_L1_TM530	Bool_t	
Events	HLT_Dimuon0_Upsilon_L1_4p5	Bool_t	
Events	HLT_Dimuon0_Upsilon_L1_4p5NoOS	Bool_t	
Events	HLT_Dimuon0_Upsilon_L1_4p5er2p0	Bool_t	
Events	HLT_Dimuon0_Upsilon_L1_4p5er2p0M	Bool_t	
Events	HLT_Dimuon0_Upsilon_L1_5	Bool_t	
Events	HLT_Dimuon0_Upsilon_L1_5M	Bool_t	
Events	HLT_Dimuon0_Upsilon_Muon_L1_TM0	Bool_t	
Events	HLT_Dimuon0_Upsilon_Muon_NoL1Mass	Bool_t	
Events	HLT_Dimuon0_Upsilon_NoVertexing	Bool_t	
Events	HLT_Dimuon10_PsiPrime_Barrel_Seagulls	Bool_t	
Events	HLT_Dimuon10_Upsilon_Barrel_Seagulls	Bool_t	
Events	HLT_Dimuon12_Upsilon_eta1p5	Bool_t	
Events	HLT_Dimuon14_Phi_Barrel_Seagulls	Bool_t	
Events	HLT_Dimuon18_PsiPrime	Bool_t	
Events	HLT_Dimuon18_PsiPrime_noCorrL1	Bool_t	
Events	HLT_Dimuon20_Jpsi_Barrel_Seagulls	Bool_t	
Events	HLT_Dimuon24_Phi_noCorrL1	Bool_t	
Events	HLT_Dimuon24_Upsilon_noCorrL1	Bool_t	
Events	HLT_Dimuon25_Jpsi	Bool_t	
Events	HLT_Dimuon25_Jpsi_noCorrL1	Bool_t	
Events	HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55	Bool_t	
Events	HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55	Bool_t	
Events	HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55	Bool_t	
Events	HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55	Bool_t	
Events	HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90	Bool_t	
Events	HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95	Bool_t	
Events	HLT_DoubleEle24_eta2p1_WPTight_Gsf	Bool_t	
Events	HLT_DoubleEle25_CaloIdL_MW	Bool_t	
Events	HLT_DoubleEle27_CaloIdL_MW	Bool_t	
Events	HLT_DoubleEle33_CaloIdL_MW	Bool_t	
Events	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350	Bool_t	
Events	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350	Bool_t	
Events	HLT_DoubleIsoMu20_eta2p1	Bool_t	
Events	HLT_DoubleIsoMu24_eta2p1	Bool_t	
Events	HLT_DoubleL2Mu50	Bool_t	
Events	HLT_DoubleLooseChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg	Bool_t	
Events	HLT_DoubleLooseChargedIsoPFTau35_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_DoubleLooseChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg	Bool_t	
Events	HLT_DoubleLooseChargedIsoPFTau40_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_DoubleMediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg	Bool_t	
Events	HLT_DoubleMediumChargedIsoPFTau35_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_DoubleMediumChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg	Bool_t	
Events	HLT_DoubleMediumChargedIsoPFTau40_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_DoubleMu20_7_Mass0to30_L1_DM4	Bool_t	
Events	HLT_DoubleMu20_7_Mass0to30_L1_DM4EG	Bool_t	
Events	HLT_DoubleMu20_7_Mass0to30_Photon23	Bool_t	
Events	HLT_DoubleMu3_DZ_PFMET50_PFMHT60	Bool_t	
Events	HLT_DoubleMu3_DZ_PFMET70_PFMHT70	Bool_t	
Events	HLT_DoubleMu3_DZ_PFMET90_PFMHT90	Bool_t	
Events	HLT_DoubleMu3_Trk_Tau3mu	Bool_t	
Events	HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass	Bool_t	
Events	HLT_DoubleMu43NoFiltersNoVtx	Bool_t	
Events	HLT_DoubleMu48NoFiltersNoVtx	Bool_t	
Events	HLT_DoubleMu4_3_Bs	Bool_t	
Events	HLT_DoubleMu4_3_Jpsi_Displaced	Bool_t	
Events	HLT_DoubleMu4_JpsiTrkTrk_Displaced	Bool_t	
Events	HLT_DoubleMu4_JpsiTrk_Displaced	Bool_t	
Events	HLT_DoubleMu4_Jpsi_Displaced	Bool_t	
Events	HLT_DoubleMu4_Jpsi_NoVertexing	Bool_t	
Events	HLT_DoubleMu4_LowMassNonResonantTrk_Displaced	Bool_t	
Events	HLT_DoubleMu4_Mass8_DZ_PFHT350	Bool_t	
Events	HLT_DoubleMu4_PsiPrimeTrk_Displaced	Bool_t	
Events	HLT_DoubleMu8_Mass8_PFHT350	Bool_t	
Events	HLT_DoublePFJets100MaxDeta1p6_DoubleCaloBTagCSV_p33	Bool_t	
Events	HLT_DoublePFJets100_CaloBTagCSV_p33	Bool_t	
Events	HLT_DoublePFJets116MaxDeta1p6_DoubleCaloBTagCSV_p33	Bool_t	
Events	HLT_DoublePFJets128MaxDeta1p6_DoubleCaloBTagCSV_p33	Bool_t	
Events	HLT_DoublePFJets200_CaloBTagCSV_p33	Bool_t	
Events	HLT_DoublePFJets350_CaloBTagCSV_p33	Bool_t	
Events	HLT_DoublePFJets40_CaloBTagCSV_p33	Bool_t	
Events	HLT_DoublePhoton33_CaloIdL	Bool_t	
Events	HLT_DoublePhoton70	Bool_t	
Events	HLT_DoublePhoton85	Bool_t	
Events	HLT_DoubleTightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg	Bool_t	
Events	HLT_DoubleTightChargedIsoPFTau35_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_DoubleTightChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg	Bool_t	
Events	HLT_DoubleTightChargedIsoPFTau40_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_ECALHT800	Bool_t	
Events	HLT_EcalCalibration	Bool_t	
Events	HLT_Ele115_CaloIdVT_GsfTrkIdT	Bool_t	
Events	HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30	Bool_t	
Events	HLT_Ele135_CaloIdVT_GsfTrkIdT	Bool_t	
Events	HLT_Ele145_CaloIdVT_GsfTrkIdT	Bool_t	
Events	HLT_Ele15_IsoVVVL_PFHT450	Bool_t	
Events	HLT_Ele15_IsoVVVL_PFHT450_CaloBTagCSV_4p5	Bool_t	
Events	HLT_Ele15_IsoVVVL_PFHT450_PFMET50	Bool_t	
Events	HLT_Ele15_IsoVVVL_PFHT600	Bool_t	
Events	HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL	Bool_t	
Events	HLT_Ele17_CaloIdM_TrackIdM_PFJet30	Bool_t	
Events	HLT_Ele200_CaloIdVT_GsfTrkIdT	Bool_t	
Events	HLT_Ele20_WPLoose_Gsf	Bool_t	
Events	HLT_Ele20_WPTight_Gsf	Bool_t	
Events	HLT_Ele20_eta2p1_WPLoose_Gsf	Bool_t	
Events	HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30	Bool_t	
Events	HLT_Ele23_CaloIdM_TrackIdM_PFJet30	Bool_t	
Events	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL	Bool_t	
Events	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ	Bool_t	
Events	HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_CrossL1	Bool_t	
Events	HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_TightID_CrossL1	Bool_t	
Events	HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_CrossL1	Bool_t	
Events	HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_TightID_CrossL1	Bool_t	
Events	HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_CrossL1	Bool_t	
Events	HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_TightID_CrossL1	Bool_t	
Events	HLT_Ele250_CaloIdVT_GsfTrkIdT	Bool_t	
Events	HLT_Ele27_Ele37_CaloIdL_MW	Bool_t	
Events	HLT_Ele27_WPTight_Gsf	Bool_t	
Events	HLT_Ele28_HighEta_SC20_Mass55	Bool_t	
Events	HLT_Ele28_eta2p1_WPTight_Gsf_HT150	Bool_t	
Events	HLT_Ele300_CaloIdVT_GsfTrkIdT	Bool_t	
Events	HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned	Bool_t	
Events	HLT_Ele32_WPTight_Gsf	Bool_t	
Events	HLT_Ele32_WPTight_Gsf_L1DoubleEG	Bool_t	
Events	HLT_Ele35_WPTight_Gsf	Bool_t	
Events	HLT_Ele35_WPTight_Gsf_L1EGMT	Bool_t	
Events	HLT_Ele38_WPTight_Gsf	Bool_t	
Events	HLT_Ele40_WPTight_Gsf	Bool_t	
Events	HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165	Bool_t	
Events	HLT_Ele50_IsoVVVL_PFHT450	Bool_t	
Events	HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30	Bool_t	
Events	HLT_Ele8_CaloIdM_TrackIdM_PFJet30	Bool_t	
Events	HLT_FullTrack_Multiplicity100	Bool_t	
Events	HLT_FullTrack_Multiplicity130	Bool_t	
Events	HLT_FullTrack_Multiplicity155	Bool_t	
Events	HLT_FullTrack_Multiplicity85	Bool_t	
Events	HLT_HISinglePhoton10_Eta3p1ForPPRef	Bool_t	
Events	HLT_HISinglePhoton20_Eta3p1ForPPRef	Bool_t	
Events	HLT_HISinglePhoton30_Eta3p1ForPPRef	Bool_t	
Events	HLT_HISinglePhoton40_Eta3p1ForPPRef	Bool_t	
Events	HLT_HISinglePhoton50_Eta3p1ForPPRef	Bool_t	
Events	HLT_HISinglePhoton60_Eta3p1ForPPRef	Bool_t	
Events	HLT_HT300_Beamspot	Bool_t	
Events	HLT_HT400_DisplacedDijet40_DisplacedTrack	Bool_t	
Events	HLT_HT425	Bool_t	
Events	HLT_HT430_DisplacedDijet40_DisplacedTrack	Bool_t	
Events	HLT_HT430_DisplacedDijet60_DisplacedTrack	Bool_t	
Events	HLT_HT430_DisplacedDijet80_DisplacedTrack	Bool_t	
Events	HLT_HT450_Beamspot	Bool_t	
Events	HLT_HT550_DisplacedDijet60_Inclusive	Bool_t	
Events	HLT_HT550_DisplacedDijet80_Inclusive	Bool_t	
Events	HLT_HT650_DisplacedDijet60_Inclusive	Bool_t	
Events	HLT_HT650_DisplacedDijet80_Inclusive	Bool_t	
Events	HLT_HT750_DisplacedDijet80_Inclusive	Bool_t	
Events	HLT_HcalCalibration	Bool_t	
